,central,west-central,north-central,east1,east2,south-central,west1,west2,north-europe,uk-west,japan-east,japan-west
central,0,15,14,32,35,23,37,36,102,110,139,131
west-central,15,0,29,46,50,23,28,21,-1,124,124,116
north-central,14,29,1,20,22,37,51,50,89,97,152,145
east1,32,46,18,1,6,28,64,67,85,79,150,160
east2,35,50,22,6,0,26,65,71,89,84,148,156
south-central,23,23,37,29,26,0,45,44,124,107,122,129
west1,46,28,51,64,65,45,0,22,139,138,117,109
west2,36,21,50,67,71,44,22,0,137,145,103,95
north-europe,102,-1,89,84,89,124,139,137,0,15,239,232
uk-west,110,123,97,79,84,107,138,145,15,0,231,240
japan-east,139,124,152,150,148,122,117,103,239,231,0,8
japan-west,131,116,145,160,156,129,109,95,232,240,8,0
