PING 13.65.92.139 (13.65.92.139) 56(84) bytes of data.
64 bytes from 13.65.92.139: icmp_seq=82 ttl=57 time=0.745 ms
64 bytes from 13.65.92.139: icmp_seq=83 ttl=57 time=0.413 ms
64 bytes from 13.65.92.139: icmp_seq=84 ttl=57 time=0.401 ms
64 bytes from 13.65.92.139: icmp_seq=85 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=86 ttl=57 time=0.405 ms
64 bytes from 13.65.92.139: icmp_seq=87 ttl=57 time=0.359 ms
64 bytes from 13.65.92.139: icmp_seq=88 ttl=57 time=0.399 ms
64 bytes from 13.65.92.139: icmp_seq=89 ttl=57 time=0.734 ms
64 bytes from 13.65.92.139: icmp_seq=90 ttl=57 time=0.636 ms
64 bytes from 13.65.92.139: icmp_seq=91 ttl=57 time=0.400 ms
64 bytes from 13.65.92.139: icmp_seq=92 ttl=57 time=0.455 ms
64 bytes from 13.65.92.139: icmp_seq=93 ttl=57 time=0.470 ms
64 bytes from 13.65.92.139: icmp_seq=94 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=95 ttl=57 time=0.369 ms
64 bytes from 13.65.92.139: icmp_seq=96 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=97 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=98 ttl=57 time=0.359 ms
64 bytes from 13.65.92.139: icmp_seq=99 ttl=57 time=0.383 ms
64 bytes from 13.65.92.139: icmp_seq=100 ttl=57 time=0.355 ms
64 bytes from 13.65.92.139: icmp_seq=101 ttl=57 time=0.354 ms
64 bytes from 13.65.92.139: icmp_seq=102 ttl=57 time=0.352 ms
64 bytes from 13.65.92.139: icmp_seq=103 ttl=57 time=0.391 ms
64 bytes from 13.65.92.139: icmp_seq=104 ttl=57 time=0.390 ms
64 bytes from 13.65.92.139: icmp_seq=105 ttl=57 time=0.376 ms
64 bytes from 13.65.92.139: icmp_seq=106 ttl=57 time=0.377 ms
64 bytes from 13.65.92.139: icmp_seq=107 ttl=57 time=0.362 ms
64 bytes from 13.65.92.139: icmp_seq=108 ttl=57 time=0.351 ms
64 bytes from 13.65.92.139: icmp_seq=109 ttl=57 time=0.363 ms
64 bytes from 13.65.92.139: icmp_seq=110 ttl=57 time=0.443 ms
64 bytes from 13.65.92.139: icmp_seq=111 ttl=57 time=0.385 ms
64 bytes from 13.65.92.139: icmp_seq=112 ttl=57 time=0.370 ms
64 bytes from 13.65.92.139: icmp_seq=113 ttl=57 time=0.360 ms
64 bytes from 13.65.92.139: icmp_seq=114 ttl=57 time=0.389 ms
64 bytes from 13.65.92.139: icmp_seq=115 ttl=57 time=0.370 ms
64 bytes from 13.65.92.139: icmp_seq=116 ttl=57 time=0.398 ms
64 bytes from 13.65.92.139: icmp_seq=117 ttl=57 time=0.774 ms
64 bytes from 13.65.92.139: icmp_seq=118 ttl=57 time=0.754 ms
64 bytes from 13.65.92.139: icmp_seq=119 ttl=57 time=0.621 ms
64 bytes from 13.65.92.139: icmp_seq=120 ttl=57 time=0.442 ms
64 bytes from 13.65.92.139: icmp_seq=121 ttl=57 time=0.448 ms
64 bytes from 13.65.92.139: icmp_seq=122 ttl=57 time=0.416 ms
64 bytes from 13.65.92.139: icmp_seq=123 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=124 ttl=57 time=0.397 ms
64 bytes from 13.65.92.139: icmp_seq=125 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=126 ttl=57 time=0.414 ms
64 bytes from 13.65.92.139: icmp_seq=127 ttl=57 time=0.481 ms
64 bytes from 13.65.92.139: icmp_seq=128 ttl=57 time=0.687 ms
64 bytes from 13.65.92.139: icmp_seq=129 ttl=57 time=0.405 ms
64 bytes from 13.65.92.139: icmp_seq=130 ttl=57 time=0.394 ms
64 bytes from 13.65.92.139: icmp_seq=131 ttl=57 time=0.380 ms
64 bytes from 13.65.92.139: icmp_seq=132 ttl=57 time=0.662 ms
64 bytes from 13.65.92.139: icmp_seq=133 ttl=57 time=0.399 ms
64 bytes from 13.65.92.139: icmp_seq=134 ttl=57 time=0.438 ms
64 bytes from 13.65.92.139: icmp_seq=135 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=136 ttl=57 time=0.761 ms
64 bytes from 13.65.92.139: icmp_seq=137 ttl=57 time=0.388 ms
