PING 13.66.225.134 (13.66.225.134) 56(84) bytes of data.
64 bytes from 13.66.225.134: icmp_seq=82 ttl=59 time=0.803 ms
64 bytes from 13.66.225.134: icmp_seq=83 ttl=59 time=0.795 ms
64 bytes from 13.66.225.134: icmp_seq=84 ttl=59 time=0.980 ms
64 bytes from 13.66.225.134: icmp_seq=85 ttl=59 time=0.906 ms
64 bytes from 13.66.225.134: icmp_seq=86 ttl=59 time=0.908 ms
64 bytes from 13.66.225.134: icmp_seq=87 ttl=59 time=0.912 ms
64 bytes from 13.66.225.134: icmp_seq=88 ttl=59 time=0.644 ms
64 bytes from 13.66.225.134: icmp_seq=89 ttl=59 time=1.73 ms
64 bytes from 13.66.225.134: icmp_seq=90 ttl=59 time=0.998 ms
64 bytes from 13.66.225.134: icmp_seq=91 ttl=59 time=0.736 ms
64 bytes from 13.66.225.134: icmp_seq=92 ttl=59 time=1.40 ms
64 bytes from 13.66.225.134: icmp_seq=93 ttl=59 time=0.540 ms
64 bytes from 13.66.225.134: icmp_seq=94 ttl=59 time=0.775 ms
64 bytes from 13.66.225.134: icmp_seq=95 ttl=59 time=0.584 ms
64 bytes from 13.66.225.134: icmp_seq=96 ttl=59 time=0.885 ms
64 bytes from 13.66.225.134: icmp_seq=97 ttl=59 time=0.879 ms
64 bytes from 13.66.225.134: icmp_seq=98 ttl=59 time=0.966 ms
64 bytes from 13.66.225.134: icmp_seq=99 ttl=59 time=1.17 ms
64 bytes from 13.66.225.134: icmp_seq=100 ttl=59 time=2.07 ms
64 bytes from 13.66.225.134: icmp_seq=101 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=102 ttl=59 time=0.938 ms
64 bytes from 13.66.225.134: icmp_seq=103 ttl=59 time=1.54 ms
64 bytes from 13.66.225.134: icmp_seq=104 ttl=59 time=0.835 ms
64 bytes from 13.66.225.134: icmp_seq=105 ttl=59 time=1.36 ms
64 bytes from 13.66.225.134: icmp_seq=106 ttl=59 time=0.866 ms
64 bytes from 13.66.225.134: icmp_seq=107 ttl=59 time=1.11 ms
64 bytes from 13.66.225.134: icmp_seq=108 ttl=59 time=0.694 ms
64 bytes from 13.66.225.134: icmp_seq=109 ttl=59 time=0.784 ms
64 bytes from 13.66.225.134: icmp_seq=110 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=111 ttl=59 time=0.800 ms
